name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Dimethylpolysiloxane,,Antifoam,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Frying oils; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lecithin (Sunflower),,Antifoam,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Frying oils; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lecithin (Soy),,Antifoam,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Frying oils; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vegetable Oil Glaze,,Glazing Agent,Approved,Low,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Candy coatings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Shellac Glaze,,Glazing Agent,Approved,Low,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Candy coatings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Carnauba Wax Glaze,,Glazing Agent,Approved,Low,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Candy coatings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Garlic‑Infused Oil,,Fat/Oil,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chili‑Infused Oil,,Fat/Oil,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Herb‑Infused Oil,,Fat/Oil,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sauces; dressings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mesquite Smoke Flavor,,Flavoring,Approved,Moderate,PAH formation if concentrated,None,vegan,Low direct impact,A,Approved in many jurisdictions,BBQ sauces; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hickory Smoke Flavor,,Flavoring,Approved,Moderate,PAH formation if concentrated,None,vegan,Low direct impact,A,Approved in many jurisdictions,BBQ sauces; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Applewood Smoke Flavor,,Flavoring,Approved,Moderate,PAH formation if concentrated,None,vegan,Low direct impact,A,Approved in many jurisdictions,BBQ sauces; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cherrywood Smoke Flavor,,Flavoring,Approved,Moderate,PAH formation if concentrated,None,vegan,Low direct impact,A,Approved in many jurisdictions,BBQ sauces; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tomato Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cream Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cheese Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
BBQ Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Buffalo Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Teriyaki Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Garlic Parmesan Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Alfredo Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sweet and Sour Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Honey Garlic Sauce Base,,Composite Ingredient,Approved,Moderate,—,None,varies,Low direct impact,A,Approved in many jurisdictions,Sauces for fast food,FDA; EFSA; USDA; PubChem,2025-08-20,None
Jalapeño Powder,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Habanero Powder,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chipotle Extract,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Green Bell Pepper Powder,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Red Bell Pepper Powder,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mushroom Extract,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Onion Extract,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Garlic Extract,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Scallion Extract,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Leek Powder,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tomatillo Powder,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Avocado Powder,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cucumber Extract,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Olive Extract,,Vegetable Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Mocha),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Mocha),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cookie Dough),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Cookie Dough),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Brownie),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Brownie),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Caramel),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Caramel),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Butterscotch),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Butterscotch),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Toffee),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Toffee),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cotton Candy),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Cotton Candy),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Bubblegum),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Bubblegum),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Marshmallow),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Marshmallow),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cinnamon Roll),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Cinnamon Roll),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Pumpkin Spice),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Pumpkin Spice),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Gingerbread),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Gingerbread),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Hazelnut),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Hazelnut),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Irish Cream),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Irish Cream),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Maple),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Maple),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Salted Caramel),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Artificial Flavor (Salted Caramel),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Natural Flavor (Birthday Cake),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Birthday Cake),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Red Velvet),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Red Velvet),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (S'mores),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (S'mores),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Chai),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Chai),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lactobacillus Culture,,Culture,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Dairy; fermented foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Bifidobacterium Culture,,Culture,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Dairy; fermented foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Propionibacterium Culture,,Culture,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Dairy; fermented foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sea Salt,,Basic Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Seasoning; preservation,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Iodized Salt,,Basic Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Seasoning; preservation,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Kosher Salt,,Basic Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Seasoning; preservation,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Chloride (Salt Substitute),,Basic Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Seasoning; preservation,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Mustard Seed,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Coriander Seed,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Black Peppercorns,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Bay Leaves,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Allspice Berries,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Dill Seed,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cinnamon Stick,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Clove Buds,,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Garlic Cloves (Dehydrated),,Spice,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; brines,FDA; EFSA; USDA; PubChem,2025-08-20,None
Fructo‑Oligosaccharides (FOS),,Sweetener,Approved,Low,GI tolerance varies,None,vegan,Low direct impact,A,Approved in many jurisdictions,Reduced‑sugar products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Inulin Syrup,,Sweetener,Approved,Low,GI tolerance varies,None,vegan,Low direct impact,A,Approved in many jurisdictions,Reduced‑sugar products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Allulose,,Sweetener,Approved,Low,GI tolerance varies,None,vegan,Low direct impact,A,Approved in many jurisdictions,Reduced‑sugar products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tagatose,,Sweetener,Approved,Low,GI tolerance varies,None,vegan,Low direct impact,A,Approved in many jurisdictions,Reduced‑sugar products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Trehalose,,Sweetener,Approved,Low,GI tolerance varies,None,vegan,Low direct impact,A,Approved in many jurisdictions,Reduced‑sugar products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Isoglucose,,Sweetener,Approved,Low,GI tolerance varies,None,vegan,Low direct impact,A,Approved in many jurisdictions,Reduced‑sugar products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Crystalline Fructose,,Sweetener,Approved,Low,GI tolerance varies,None,vegan,Low direct impact,A,Approved in many jurisdictions,Reduced‑sugar products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Elderflower Extract,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hibiscus Extract,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ginger Extract,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lemon Oil,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Orange Oil,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lime Oil,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Grapefruit Oil,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Peppermint Oil,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Spearmint Oil,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Wintergreen Oil,,Flavoring,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Disodium Phosphate,,Emulsifying Salt,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Processed cheese,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Trisodium Citrate,,Emulsifying Salt,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Processed cheese,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Tetrasodium Pyrophosphate,,Emulsifying Salt,Approved,Low,—,None,vegetarian,Low direct impact,A,Approved in many jurisdictions,Processed cheese,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Pine Nuts,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chestnuts,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Citric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Citric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Citric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Citric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Citric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Malic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Malic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Malic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Malic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Malic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Lactic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Lactic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Lactic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Lactic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Lactic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Tartaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Tartaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Tartaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Tartaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Tartaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Phosphoric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Phosphoric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Phosphoric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Phosphoric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Phosphoric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Fumaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Fumaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Fumaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Fumaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Fumaric Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
